"proj_id","proj_age_quarter","ci_age_month","Date","proj_age","n_pr_open","n_pr_core","n_pr_merged","n_pr_unmerged","n_core_merged","n_core_unmerged","n_issue_open","n_issue_proj_closed","team_size","test_files","test_loc","src_files","src_loc","n_star","n_fork"
111811,12,11,"00:00.0",36,2,2,2,0,2,0,0,0,2,14,2120,138,27997,329,76
111811,12,10,"00:00.0",35,5,5,5,0,5,0,0,0,2,14,2120,138,27997,329,76
111811,13,12,"00:00.0",37,8,8,7,1,7,1,0,0,3,14,2354,143,28130,368,78
111811,5,-11,"00:00.0",15,1,1,1,0,1,0,0,0,3,7,946,120,23915,258,31
111811,5,-12,"00:00.0",14,2,0,0,2,0,0,0,0,3,7,946,120,23915,258,31
111811,6,-10,"00:00.0",16,11,1,8,3,1,0,0,0,3,7,946,123,24265,275,36
111811,6,-9,"00:00.0",17,7,0,4,3,0,0,0,0,3,7,946,123,24265,275,36
111811,6,-8,"00:00.0",18,0,0,0,0,0,0,0,0,1,7,946,123,24265,275,36
111811,7,-7,"00:00.0",19,2,0,2,0,0,0,0,0,3,7,946,123,24319,282,43
111811,7,-6,"00:00.0",20,4,0,3,1,0,0,0,0,2,7,946,123,24319,282,43
111811,7,-5,"00:00.0",21,28,2,19,9,1,1,0,0,3,7,946,123,24319,282,43
111811,8,-3,"00:00.0",23,7,0,7,0,0,0,0,0,3,10,1082,127,25346,289,52
111811,8,-2,"00:00.0",24,4,0,3,1,0,0,0,0,2,10,1082,127,25346,289,52
111811,8,-4,"00:00.0",22,22,2,20,2,2,0,0,0,3,10,1082,127,25346,289,52
111811,9,-1,"00:00.0",25,11,0,8,3,0,0,0,0,2,11,1143,127,25453,290,57
111811,9,1,"00:00.0",26,6,0,6,0,0,0,0,0,2,11,1143,127,25453,290,57
